,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Port Elizabeth,ZA,-33.92,25.57,59.0,82,20,16.11,few clouds
112,Port Hedland,AU,-20.32,118.57,66.2,55,0,8.05,clear sky
113,Ancud,CL,-41.87,-73.82,51.01,93,90,14.99,overcast clouds
114,Bengkulu,ID,-3.8,102.27,76.53,88,96,4.74,overcast clouds
115,Lokosovo,RU,61.13,74.82,50.07,96,98,2.51,overcast clouds
116,East London,ZA,-33.02,27.91,63.68,71,32,5.48,scattered clouds
117,Itarema,BR,-2.92,-39.92,82.71,63,2,21.03,clear sky
118,Umm Lajj,SA,25.02,37.27,83.89,60,0,4.05,clear sky
119,Kruisfontein,ZA,-34.0,24.73,57.99,81,27,3.0,scattered clouds
120,Dikson,RU,73.51,80.55,46.51,78,0,9.6,clear sky
121,Khatanga,RU,71.97,102.5,54.81,67,88,9.71,overcast clouds
122,Butaritari,KI,3.07,172.79,82.96,67,71,9.64,broken clouds
123,Gulbarga,IN,17.33,76.83,76.5,83,100,12.39,overcast clouds
124,Alofi,NU,-19.06,-169.92,73.4,88,77,8.05,broken clouds
125,Beeskow,DE,52.17,14.25,72.0,72,35,1.99,scattered clouds
126,Pochutla,MX,15.74,-96.47,84.99,78,90,6.6,overcast clouds
127,Santo Domingo,DO,18.5,-69.99,84.2,100,90,8.7,light rain
128,Mwinilunga,ZM,-11.74,24.43,67.87,31,14,5.1,few clouds
129,Deputatskiy,RU,69.3,139.9,30.63,99,100,3.0,overcast clouds
130,Vostok,RU,46.49,135.88,53.15,89,100,3.31,overcast clouds
131,Turka,UA,49.15,23.03,63.0,97,100,1.01,light rain
132,Kloulklubed,PW,7.04,134.26,80.6,78,75,3.36,broken clouds
133,Yulara,AU,-25.24,130.99,59.0,37,0,6.93,clear sky
134,Hobyo,SO,5.35,48.53,76.12,78,44,24.81,scattered clouds
135,Sorland,NO,67.67,12.69,51.8,81,75,19.46,shower rain
136,Waingapu,ID,-9.66,120.26,73.76,83,66,5.73,broken clouds
137,Mgandu,TZ,-5.95,34.13,66.09,41,26,6.49,scattered clouds
138,College,US,64.86,-147.8,57.2,87,75,1.52,broken clouds
139,Hermanus,ZA,-34.42,19.23,57.0,93,100,1.01,overcast clouds
140,Kathmandu,NP,27.72,85.32,71.6,94,75,4.7,light rain
141,Thai Nguyen,VN,21.59,105.84,84.2,79,17,6.93,few clouds
