,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Freeport,US,84.99,clear sky,40.66,-73.58,The Freeport Inn and Marina
468,San Juan De Uraba,CO,82.29,moderate rain,8.76,-76.53,Hotel Cerro De Zumba
472,Shasta Lake,US,86.0,haze,40.68,-122.37,Shasta Dam Motel
484,Turbat,PK,85.87,broken clouds,26.0,63.04,Mubashar Quarters
488,Sarangani,PH,83.23,light rain,5.4,125.46,Ballistic Islet
492,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
494,Tagbac,PH,78.8,scattered clouds,7.09,125.16,Sitio Maupot Family Resort
500,Gunjur,GM,84.2,broken clouds,13.2,-16.73,Kuba Lodge
501,Matay,EG,89.56,clear sky,28.42,30.78,Nag Aespen
503,Shangqiu,CN,76.19,light rain,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
504,Bang Sai,TH,82.4,few clouds,14.21,100.5,แพ สนามชัย บางไทร อยุธยา ตกปลา fishing
508,Lamas,PE,78.8,broken clouds,-6.42,-76.53,Peru Selva Tarapoto Lamas Linda
511,Corrales,US,89.01,scattered clouds,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
515,Marang,MY,80.6,few clouds,5.21,103.21,DBarakah Homestay
522,Camacha,PT,77.0,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
523,Cayenne,GF,75.2,light rain,4.93,-52.33,Hôtel Le Dronmi
530,Vanimo,PG,77.52,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
531,Surt,LY,80.73,clear sky,31.21,16.59,City Hotel
532,Foz Do Iguacu,BR,75.2,clear sky,-25.55,-54.59,Turrance Green Hotel
533,Oneonta,US,84.0,light rain,42.45,-75.06,Hampton Inn Oneonta
537,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
539,Alexandria,EG,86.0,clear sky,31.22,29.96,Royal Crown Hotel
541,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
542,San Quintin,MX,78.62,clear sky,30.48,-115.95,Old Mill Hotel
544,Bemidji,US,81.0,clear sky,47.47,-94.88,Hampton Inn & Suites Bemidji
554,Ko Samui,TH,83.82,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
563,Lao Cai,VN,76.8,scattered clouds,22.48,103.95,Legend Hotel
566,Anloga,GH,82.4,few clouds,5.79,0.9,Dey Lodge
569,Champerico,GT,82.4,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
571,Parnaiba,BR,84.97,few clouds,-2.9,-41.78,Hotel Delta
572,Oropoli,HN,82.4,broken clouds,13.82,-86.82,Aguas Termales
573,Nova Soure,BR,79.95,light rain,-11.23,-38.48,"Fazenda Lagoa Grande, Soure, Bahia, Brasil"
574,Muisne,EC,82.4,broken clouds,0.6,-80.03,Quinta Samay
575,Eyl,SO,77.47,scattered clouds,7.98,49.82,Amiin Hotel
576,Samarai,PG,75.34,overcast clouds,-10.62,150.67,Nuli Sapi
578,Aflao,TG,82.4,few clouds,6.12,1.19,Hotel LeBenin
580,Nador,MA,84.2,scattered clouds,35.17,-2.93,Hôtel La Giralda
581,Decatur,US,87.01,scattered clouds,39.84,-88.95,Haworth Cottage
584,Chitral,PK,77.61,clear sky,35.85,71.79,PTDC Motel Chitral
586,Pocatello,US,79.0,haze,42.87,-112.45,Clarion Inn
592,Nha Trang,VN,82.4,few clouds,12.25,109.18,Hanoi Golden Hotel
593,Los Algarrobos,PA,86.0,scattered clouds,8.5,-82.43,Waterfall Hostel
594,Ribas Do Rio Pardo,BR,82.8,scattered clouds,-20.44,-53.76,Ataíde Martins
