City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Dudinka,RU,2020-08-22 02:18:37,69.41,86.18,59.0,67,22,6.71
134,Westport,US,2020-08-22 02:17:48,41.14,-73.36,75.2,83,1,9.17
135,Muskegon,US,2020-08-22 02:15:36,43.3,-86.13,71.6,77,40,3.36
136,Yar-Sale,RU,2020-08-22 02:18:38,66.83,70.83,53.89,92,96,8.84
137,Fairbanks,US,2020-08-22 02:15:32,64.84,-147.72,69.01,56,90,6.22
138,Caravelas,BR,2020-08-22 02:18:38,-17.71,-39.25,72.48,86,83,11.3
139,Saint George,US,2020-08-22 02:18:38,37.1,-113.58,102.2,12,1,12.75
140,Ihosy,MG,2020-08-22 02:18:39,-22.4,46.12,57.85,91,18,8.01
141,Torbay,CA,2020-08-22 02:18:39,47.67,-52.73,63.0,77,90,16.11
142,Khatanga,RU,2020-08-22 02:18:39,71.97,102.5,53.06,51,0,14.81
143,Cervia,IT,2020-08-22 02:18:39,44.27,12.34,75.0,82,0,3.36
144,Phalodi,IN,2020-08-22 02:18:39,27.13,72.37,87.17,64,80,4.23
145,Butaritari,KI,2020-08-22 02:18:40,3.07,172.79,82.24,65,100,2.59
146,Bredasdorp,ZA,2020-08-22 02:18:40,-34.53,20.04,42.8,93,0,4.7
147,Sakakah,SA,2020-08-22 02:17:28,29.97,40.21,80.6,26,0,12.75
148,Klyuchi,RU,2020-08-22 02:18:40,52.27,79.17,59.74,65,0,10.02
149,Cody,US,2020-08-22 02:18:41,44.53,-109.06,84.99,31,1,3.36
150,Norman Wells,CA,2020-08-22 02:18:41,65.28,-126.83,64.4,52,75,14.99
151,Esperance,AU,2020-08-22 02:15:18,-33.87,121.9,53.6,87,100,11.41
152,Saskylakh,RU,2020-08-22 02:18:41,71.92,114.08,46.24,61,13,6.24
153,Banda Aceh,ID,2020-08-22 02:18:42,5.56,95.32,82.24,74,99,2.08
154,Awjilah,LY,2020-08-22 02:18:42,29.11,21.29,75.38,58,0,7.05
155,Igarapava,BR,2020-08-22 02:18:42,-20.04,-47.75,57.2,76,75,13.87
156,Takoradi,GH,2020-08-22 02:18:42,4.88,-1.76,73.71,92,11,8.72
157,Lasa,IT,2020-08-22 02:18:42,46.62,10.7,60.8,100,5,1.12
158,Namibe,AO,2020-08-22 02:18:43,-15.2,12.15,65.21,60,52,5.79
159,Limbang,MY,2020-08-22 02:18:43,4.75,115.0,86.0,74,40,3.36
160,Yerofey Pavlovich,RU,2020-08-22 02:18:43,53.97,121.97,69.73,58,99,5.7
161,Verkh-Usugli,RU,2020-08-22 02:18:43,52.7,115.17,66.61,75,83,2.93
162,Haines Junction,CA,2020-08-22 02:18:44,60.75,-137.51,60.44,77,100,3.36
163,Chapais,CA,2020-08-22 02:18:44,49.78,-74.85,50.0,93,1,1.14
164,Charleston,US,2020-08-22 02:18:44,32.78,-79.93,82.4,83,20,8.05
165,Pacific Grove,US,2020-08-22 02:17:39,36.62,-121.92,73.99,64,90,8.05
166,Bud,US,2020-08-22 02:18:44,39.45,-86.18,70.0,88,1,3.31
167,Naze,JP,2020-08-22 02:14:31,28.37,129.48,87.8,70,20,3.36
168,Goderich,CA,2020-08-22 02:18:45,43.75,-81.72,71.01,86,19,5.59
169,Chokurdakh,RU,2020-08-22 02:18:45,70.63,147.92,39.09,74,100,7.76
170,Snezhnogorsk,RU,2020-08-22 02:18:45,69.19,33.25,51.8,100,24,4.47
171,Harper,LR,2020-08-22 02:18:46,4.38,-7.72,75.22,88,100,10.04
172,Nouadhibou,MR,2020-08-22 02:18:46,20.93,-17.03,78.8,69,91,11.41
173,Kaitangata,NZ,2020-08-22 02:18:46,-46.28,169.85,57.99,58,7,3.0
174,Khash,IR,2020-08-22 02:18:46,28.22,61.22,70.16,55,47,2.71
175,Tiznit,MA,2020-08-22 02:18:46,29.58,-9.5,78.44,26,0,1.01
176,Mawlaik,MM,2020-08-22 02:18:47,23.63,94.42,82.06,82,41,0.6
177,Upernavik,GL,2020-08-22 02:18:47,72.79,-56.15,42.42,80,1,10.31
178,Mount Isa,AU,2020-08-22 02:18:47,-20.73,139.5,77.0,17,0,12.75
179,Cidreira,BR,2020-08-22 02:14:57,-30.18,-50.21,46.78,66,0,6.04
180,Fortuna,US,2020-08-22 02:18:48,40.6,-124.16,70.0,82,75,14.99
181,Taltal,CL,2020-08-22 02:18:48,-25.4,-70.48,54.45,71,0,3.22
182,Kalamare,BW,2020-08-22 02:18:48,-22.93,26.57,54.73,83,92,15.37
183,Verkhnevilyuysk,RU,2020-08-22 02:18:48,63.45,120.32,58.89,43,0,3.65
184,Kirakira,SB,2020-08-22 02:18:48,-10.45,161.92,85.44,73,83,11.61
185,Talnakh,RU,2020-08-22 02:18:49,69.49,88.4,59.0,67,53,6.71
186,San Patricio,MX,2020-08-22 02:18:49,19.22,-104.7,86.0,79,75,11.41
187,Zhigansk,RU,2020-08-22 02:18:49,66.77,123.37,45.66,59,0,17.69
188,Tena,EC,2020-08-22 02:18:50,-0.98,-77.82,68.49,70,68,3.44
189,Auki,SB,2020-08-22 02:18:50,-8.77,160.7,86.36,66,100,4.45
190,Hofn,IS,2020-08-22 02:18:50,64.25,-15.21,48.92,63,0,15.23
191,Isangel,VU,2020-08-22 02:18:50,-19.55,169.27,82.4,78,40,9.17
192,Arteni,AM,2020-08-22 02:18:51,40.3,43.76,66.2,67,20,6.93
193,Necochea,AR,2020-08-22 02:18:51,-38.55,-58.74,39.99,90,0,3.0
194,Viedma,AR,2020-08-22 02:18:51,-40.81,-63.0,53.01,52,0,4.0
195,Iqaluit,CA,2020-08-22 02:18:51,63.75,-68.51,44.6,81,75,4.34
196,Nijar,ES,2020-08-22 02:18:52,36.97,-2.21,75.2,64,0,4.7
197,Makakilo City,US,2020-08-22 02:18:45,21.35,-158.09,89.6,49,75,9.17
198,Vrangel,RU,2020-08-22 02:18:52,42.73,133.08,69.84,57,7,5.61
199,Tianpeng,CN,2020-08-22 02:18:52,30.99,103.94,77.0,94,40,2.01
200,Constantine,DZ,2020-08-22 02:18:52,36.37,6.61,73.4,53,0,0.4
